agent_name,agent_id,agency_name,agency_id,commission_period,commission_amount,plan_name,is_adjusted,effective_date,term_date,carrier_name,description
Kevin V Parks,20928431.0,Delta Care Corporation,52115295.0,2024-05,-200.0,Wellcare Dual Access (HMO D-SNP),False,2024-05-01,2024-05-31,Centene,
Tyler Rogers,62981845.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare No Premium Open (PPO),False,2024-06-01,,Centene,
Todd Martinez,62936036.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Kevin V Parks,20928431.0,Delta Care Corporation,52115295.0,2024-06,116.6,Wellcare Dual Access (HMO D-SNP),True,2024-06-01,,Centene,
Kevin V Parks,20928431.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access Open (PPO D-SNP),True,2024-06-01,,Centene,
Eric R Wilson,58970362.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Kirk Baker,39110636.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Todd Martinez,62936036.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
James Martinez Jr,82104220.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),True,2024-06-01,,Centene,
Daniel A Holland Parks,32015536.0,Delta Care Corporation,52115295.0,2023-04,-83.4,Wellcare Giveback Open (PPO),False,2023-04-01,2023-05-31,Centene,
Paul Taylor,24542202.0,Delta Care Corporation,52115295.0,2023-11,-200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2023-11-01,2023-11-01,Centene,
Jeffrey L Anderson,51129743.0,Delta Care Corporation,52115295.0,2024-01,-200.0,Wellcare Fidelis Dual Access (HMO D-SNP),False,2024-01-01,,Centene,
Brittany L Smith,53497310.0,Delta Care Corporation,52115295.0,2024-02,-116.6,Wellcare Dual Access (HMO D-SNP),True,2024-02-01,2024-05-31,Centene,
Bonnie Parks,97703304.0,Delta Care Corporation,52115295.0,2024-05,-116.6,Wellcare Giveback Open (PPO),False,2024-05-01,2024-05-31,Centene,
Lisa Norris,40245312.0,Delta Care Corporation,52115295.0,2024-05,-116.6,Wellcare Dual Access (HMO D-SNP),True,2024-05-01,,Centene,
Hunter Lee,92689628.0,Delta Care Corporation,52115295.0,2024-06,-200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,2024-06-01,Centene,
Kevin V Parks,20928431.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Giveback Open (PPO),True,2024-06-01,,Centene,
Eric R Wilson,58970362.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),True,2024-06-01,,Centene,
Alexis Baker Jr,25856129.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),True,2024-06-01,,Centene,
Brittany L Smith,53497310.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),True,2024-06-01,,Centene,
Todd Martinez,62936036.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),True,2024-06-01,,Centene,
William Smith,17280327.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Erika Hull,52592242.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Chelsea Butler,95835365.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare No Premium (HMO),False,2024-06-01,,Centene,
Chelsea Butler,95835365.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
Patty S Jackson,88601985.0,Delta Care Corporation,52115295.0,2024-06,200.0,Wellcare Dual Access (HMO D-SNP),False,2024-06-01,,Centene,
